name,area,century,nationality
Leif Eriksson,Vinland (Newfoundland) and North American mainland (Canada),11th,Viking
Erik the Red,Greenland,10th,Norse
Erik the Red,Greenland,10th,Viking
Pedro Escobar,São Tomé and Príncipe islands,15th,Portuguese
St Vincent Whitshed Erskine,Gazaland & Limpopo River,19th,British
St Vincent Whitshed Erskine,Gazaland & Limpopo River,19th,South
St Vincent Whitshed Erskine,Gazaland & Limpopo River,19th,African
Eudoxus of Cyzicus,"Indian Ocean, attempted circumnavigation of Africa",2nd BC,Greek
Euthymenes,Northwest African coast,6th BC,Greek
George Everest,India,19th,Welsh
Evliya Çelebi,"Turkey, Egypt, Africa, Europe",17th,Turkish
Ahmad ibn Fadlan,"Eastern Europe, Middle East, Russia, Scandinavia",10th,Abbasid
Ahmad ibn Fadlan,"Eastern Europe, Middle East, Russia, Scandinavia",10th,Caliphate
João Álvares Fagundes,Newfoundland and Nova Scotia,16th,Portuguese
Edmund Fanning,Oceania,18th,American
Edmund Fanning,Oceania,19th,American
Percy Harrison Fawcett,Amazon Rainforest,20th,English
Álvaro Fernandes,West African coast,15th,Portuguese
Baltasar Fernandes,Brazil,17th,Portuguese
Duarte Fernandes,Thailand,16th,Portuguese
Juan Fernández,"Juan Fernández Islands, Pacific Ocean",16th,Spanish
Salvador Fidalgo,Pacific Northwest,18th,Spanish
Peter Fidler,Western Canada,18th,English
Sir Ranulph Fiennes,"Arctic, Antarctica",20th,English
Sir Ranulph Fiennes,"Arctic, Antarctica",21st,English
Matthew Flinders,"Australia, Tasmania",18th,English
Matthew Flinders,"Australia, Tasmania",19th,English
Alexander Forbes,California,19th,Scottish
Peter Forsskål,Arabian Peninsula,18th,Finnish
John Franklin,Northwest Passage,19th,English
Simon Fraser,British Columbia,18th,Scottish
Simon Fraser,British Columbia,19th,Scottish
Lançarote de Freitas,Northwest African coast,15th,Portuguese
John C. Frémont,"Oregon Trail, Sierra Nevada",19th,American
Marc-Joseph Marion du Fresne,Oceania,18th,French
Louis de Freycinet,"Western Australia, Oceania",19th,French
Martin Frobisher,"Northwest Passage, Canada",16th,English
Xu Fu,Japan,3rd BC,Chinese
Juan de Fuca,"Strait of Juan de Fuca, Canada–United States border",16th,Greek
Juan de Fuca,"Strait of Juan de Fuca, Canada–United States border",16th,Spanish
Vivian Fuchs,Antarctica,20th,English
Alfons Gabriel,Iran,20th,Austrian
Yuri Gagarin,Earth orbit,20th,Soviet
Martín Galeano,Colombia,16th,Italian
Martín Galeano,Colombia,16th,Genoese
Martín Galeano,Colombia,16th,Spanish
Dionisio Alcalá Galiano,Pacific Northwest,18th,Spanish
Juan Galindo,Mesoamerica (Mayan remains),19th,Spanish
Juan Galindo,Mesoamerica (Mayan remains),19th,Irish
Estevão da Gama,"Trindade and Martim Vaz islands, Indian Ocean",16th,Portuguese
João da Gama,"Hokkaido, Kuril islands, North Pacific, North America",16th,Portuguese
Paulo da Gama,sea route from Europe to India,15th,Portuguese
Vasco da Gama,sea route from Europe to India,15th,Portuguese
Vasco da Gama,sea route from Europe to India,16th,Portuguese
Pedro Sarmiento de Gamboa,Solomon Islands,16th,Spanish
Thomas Gann,Mesoamerica (Mayan remains),19th,Irish
Thomas Gann,Mesoamerica (Mayan remains),20th,Irish
Aleixo Garcia,"Brazil, Paraguay and Bolivia",16th,Portuguese
Francisco García Jofre de Loaísa,Pacific Ocean,16th,Spanish
