,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,User_lat,User_lng
83,"RT @TAMU_CoDHR: If you missed @LauraK_Nelson guest lecture last Friday or you want to see it again, click the link below to watch the recor…","Katayoun Torabi, Ph.D.",60,58,"College Station, TX",False,0,2,2020-10-07 15:05:33,30.5955289,-96.3071042
84,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Maria Yubero,2327,416,Barcelona - Edinburgh,False,0,54,2020-10-07 15:05:00,,
85,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Natalia Égüez,1742,1332,Tenerife / Barcelona,False,0,54,2020-10-07 15:04:47,41.4165104,2.1639268
86,"Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri… https://t.co/uwLG182MGd",Xavier Rubio-Campillo,3149,708,Barcelona,False,52,54,2020-10-07 15:02:24,41.3828939,2.1774322
87,RT @museweb: Don’t miss your chance to be published! The deadline to submit an #MW21 Conference proposal has been extended to October 9. Yo…,"Stephania Savva, PhD",27748,2388,"Limassol, Cyprus",False,0,4,2020-10-07 10:44:57,34.6852901,33.0332657
88,RT @museweb: Don’t miss your chance to be published! The deadline to submit an #MW21 Conference proposal has been extended to October 9. Yo…,K. White,30765,532,,False,0,4,2020-10-07 00:22:51,,
89,RT @museweb: Don’t miss your chance to be published! The deadline to submit an #MW21 Conference proposal has been extended to October 9. Yo…,Rob Lancefield,1703,1252,,False,0,4,2020-10-06 23:40:12,,
90,Don’t miss your chance to be published! The deadline to submit an #MW21 Conference proposal has been extended to Oc… https://t.co/0kD0u7aN4o,museweb,19480,63505,"April 5-9, 2021",False,3,4,2020-10-06 23:30:05,-34.3610257,-54.0683009
91,RT @drjmil: Applications open for the Activist Studio West Summer 2021 #UC #HBCU undergraduate  #digitalhumanities program at UC Irvine.  #…,K. White,30765,532,,False,0,1,2020-10-06 18:22:51,,
92,Applications open for the Activist Studio West Summer 2021 #UC #HBCU undergraduate  #digitalhumanities program at U… https://t.co/KA7zY8SnFW,Jessica MillwardPhD,2305,3048,"Los Angeles, CA.",False,0,1,2020-10-06 17:36:05,34.0536909,-118.2427666
93,"RT @TAMU_CoDHR: If you missed @LauraK_Nelson guest lecture last Friday or you want to see it again, click the link below to watch the recor…",K. White,30765,532,,False,0,2,2020-10-06 15:23:02,,
94,"If you missed @LauraK_Nelson guest lecture last Friday or you want to see it again, click the link below to watch t… https://t.co/pmwJU2WXO0",TAMU_CoDHR,508,913,Texas A&M University,False,1,2,2020-10-06 14:52:56,30.610836499999998,-96.35212800264426
95,RT @CARomein: If there is anyone interested in working on Linked Legal Data (early modern ordinances) - drop me or @anwagnerdreas a line as…,Dr Coleman A Dennehy,16252,3255,"Dublin City, Ireland",False,0,6,2020-10-05 19:50:56,53.3497645,-6.2602732
96,RT @Pares_Nicolas: Are you a #DigitalHumanities #OpenData #Researchers or service provider? @RDAPassn Please complete this quick survey and…,K. White,30765,532,,False,0,2,2020-10-05 17:22:59,,
97,RT @Pares_Nicolas: Are you a #DigitalHumanities #OpenData #Researchers or service provider? @RDAPassn Please complete this quick survey and…,AIUCD,1711,1006,Italy,False,0,2,2020-10-05 16:53:39,42.6384261,12.674297
98,Are you a #DigitalHumanities #OpenData #Researchers or service provider? @RDAPassn Please complete this quick surve… https://t.co/czvVhLRElD,Nicolas Parés,17,28,"Colorado, USA",False,1,2,2020-10-05 16:36:47,38.7251776,-105.6077167
99,RT @CARomein: If there is anyone interested in working on Linked Legal Data (early modern ordinances) - drop me or @anwagnerdreas a line as…,Jairo Melo,8361,909,México,False,0,6,2020-10-05 12:40:09,19.4326296,-99.1331785
