Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @Bomoimajid: ⭕ Insightful Reading:

""An #AI Winter May Be Inevitable. What We Should Fear More: An #AI Ice Age""

By @andypardoe v/@ITPro…",Purevdorj Enkhjargal,175113,2984,Mongolia,False,0,13,2020-12-06 19:21:13,"['AI', 'AI']",[],,
"RT @Eli_Krumova: 7🆓 #eBooks for #DataScientist to Read in 2020📚

#Book▶️Bayesian #Methods for #Hackers🥷🏽
👇🏽
https://t.co/pq8DVyRUPs

#Machi…",Friday,274110,1148,,False,0,32,2020-12-06 19:21:10,"['eBooks', 'DataScientist', 'Book', 'Methods', 'Hackers']",[],,
"RT @Bomoimajid: ⭕ Good Read:

""5 Lessons To Guide Your Organization's #Diversity, Equity And #Inclusion Journey""

By Lauren Park @SAP v/@Fo…",the404code,68312,1167,,False,0,37,2020-12-06 19:21:05,"['Diversity', 'Inclusion']",[],,
"RT @Bomoimajid: ⭕ Insightful Reading:

""An #AI Winter May Be Inevitable. What We Should Fear More: An #AI Ice Age""

By @andypardoe v/@ITPro…",the404code,68312,1167,,False,0,13,2020-12-06 19:21:05,"['AI', 'AI']",[],,
"RT @Eli_Krumova: 7🆓 #eBooks for #DataScientist to Read in 2020📚

#Book▶️Bayesian #Methods for #Hackers🥷🏽
👇🏽
https://t.co/pq8DVyRUPs

#Machi…",the404code,68312,1167,,False,0,32,2020-12-06 19:21:05,"['eBooks', 'DataScientist', 'Book', 'Methods', 'Hackers']",[],,
"RT @Codifyd: 5 Digital Transformation-Driven Cybersecurity Considerations - https://t.co/adUlQ0PD35

#DigitalTransformation #MachineLearnin…",HubOfML,293394,6751,Germany ,False,0,13,2020-12-06 19:21:03,['DigitalTransformation'],[],,
"RT @Codifyd: 5 Digital Transformation-Driven Cybersecurity Considerations - https://t.co/adUlQ0PD35

#DigitalTransformation #MachineLearnin…",Cyber Security Feed,1210441,12416,Internet,False,0,13,2020-12-06 19:20:57,['DigitalTransformation'],[],,
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,LinuxBot,475696,3226,Raspberry Pi,False,0,20,2020-12-06 19:20:02,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
RT @javascriptflx: Business Analytics Course 2020 ($94.99 to Free) #finance #Serverless #Python #100DaysOfCode #ArtificialIntelligence #Clo…,GentooBot,85383,990,The Cloud,False,0,23,2020-12-06 19:19:25,"['finance', 'Serverless', 'Python', '100DaysOfCode', 'ArtificialIntelligence']",[],,
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,Gnuts about Code,534236,3376,,False,0,20,2020-12-06 19:19:25,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,xael bot,745407,3352,Earth,False,0,20,2020-12-06 19:19:25,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
RT @javascriptflx: Business Analytics Course 2020 ($94.99 to Free) #finance #Serverless #Python #100DaysOfCode #ArtificialIntelligence #Clo…,Friday,274110,1148,,False,0,23,2020-12-06 19:19:24,"['finance', 'Serverless', 'Python', '100DaysOfCode', 'ArtificialIntelligence']",[],,
RT @javascriptflx: Business Analytics Course 2020 ($94.99 to Free) #finance #Serverless #Python #100DaysOfCode #ArtificialIntelligence #Clo…,Gnuts about Code,534236,3376,,False,0,23,2020-12-06 19:19:24,"['finance', 'Serverless', 'Python', '100DaysOfCode', 'ArtificialIntelligence']",[],,
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,HubOfML,293394,6751,Germany ,False,0,20,2020-12-06 19:19:20,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
